Designator,Mid X,Mid Y,Rotation,Layer
LED1,156.3,-26.0,90.0,top
LED10,133.8,-26.0,90.0,top
LED11,131.3,-26.0,90.0,top
LED12,128.8,-26.0,90.0,top
LED13,126.3,-26.0,90.0,top
LED14,123.8,-26.0,90.0,top
LED15,121.3,-26.0,90.0,top
LED16,118.8,-26.0,90.0,top
LED17,116.3,-26.0,90.0,top
LED18,113.8,-26.0,90.0,top
LED19,111.3,-26.0,90.0,top
LED2,153.8,-26.0,90.0,top
LED20,108.8,-26.0,90.0,top
LED21,106.3,-26.0,90.0,top
LED22,103.8,-26.0,90.0,top
LED23,101.3,-26.0,90.0,top
LED24,98.8,-26.0,90.0,top
LED25,96.3,-26.0,90.0,top
LED26,93.8,-26.0,90.0,top
LED27,91.3,-26.0,90.0,top
LED28,88.8,-26.0,90.0,top
LED29,86.3,-26.0,90.0,top
LED3,151.3,-26.0,90.0,top
LED30,83.8,-26.0,90.0,top
LED31,81.3,-26.0,90.0,top
LED32,78.8,-26.0,90.0,top
LED33,76.3,-26.0,90.0,top
LED34,73.8,-26.0,90.0,top
LED35,71.3,-26.0,90.0,top
LED36,68.8,-26.0,90.0,top
LED37,66.3,-26.0,90.0,top
LED38,63.8,-26.0,90.0,top
LED39,61.3,-26.0,90.0,top
LED4,148.8,-26.0,90.0,top
LED40,58.8,-26.0,90.0,top
LED41,56.28,-26.0,90.0,top
LED42,53.78,-26.0,90.0,top
LED43,51.28,-26.0,90.0,top
LED44,48.78,-26.0,90.0,top
LED45,46.28,-26.0,90.0,top
LED46,43.78,-26.0,90.0,top
LED47,41.28,-26.0,90.0,top
LED48,38.78,-26.0,90.0,top
LED49,36.28,-26.0,90.0,top
LED5,146.3,-26.0,90.0,top
LED50,33.78,-26.0,90.0,top
LED51,31.3,-26.0,90.0,top
LED52,28.8,-26.0,90.0,top
LED53,26.3,-26.0,90.0,top
LED54,23.8,-26.0,90.0,top
LED55,21.3,-26.0,90.0,top
LED6,143.8,-26.0,90.0,top
LED7,141.3,-26.0,90.0,top
LED8,138.8,-26.0,90.0,top
LED9,136.3,-26.0,90.0,top
