Designator,Mid X,Mid Y,Rotation,Layer
C1,152.25,-21.5,270.0,top
C10,91.5,-21.5,270.0,top
C11,84.75,-21.5,270.0,top
C12,78.0,-21.5,270.0,top
C13,71.25,-21.5,270.0,top
C14,64.5,-21.5,270.0,top
C15,57.75,-21.5,270.0,top
C16,51.0,-21.5,270.0,top
C17,44.25,-21.5,270.0,top
C18,37.5,-21.5,270.0,top
C19,31.0,-21.5,270.0,top
C2,145.5,-21.5,270.0,top
C20,24.0,-21.48,270.0,top
C3,138.75,-21.52,270.0,top
C4,132.0,-21.5,270.0,top
C5,125.25,-21.5,270.0,top
C6,118.5,-21.5,270.0,top
C7,111.75,-21.5,270.0,top
C8,105.0,-21.5,270.0,top
C9,98.25,-21.5,270.0,top
D1,152.25,-26.0,270.0,top
D10,91.5,-26.0,270.0,top
D11,84.75,-26.0,270.0,top
D12,78.0,-26.0,270.0,top
D13,71.25,-26.0,270.0,top
D14,64.5,-26.0,270.0,top
D15,57.75,-26.0,270.0,top
D16,51.0,-26.0,270.0,top
D17,44.25,-26.0,270.0,top
D18,37.5,-26.0,270.0,top
D19,30.75,-26.0,270.0,top
D2,145.5,-26.0,270.0,top
D20,24.0,-26.0,270.0,top
D3,138.75,-26.0,270.0,top
D4,132.0,-26.0,270.0,top
D5,125.25,-26.0,270.0,top
D6,118.5,-26.0,270.0,top
D7,111.75,-26.0,270.0,top
D8,105.0,-26.0,270.0,top
D9,98.25,-26.0,270.0,top
